id_parcela,region,variedad,superficie_ha,temp_promedio,humedad_suelo,ph_suelo,horas_sol,riego_mm,fertilizante_kg,densidad_plantas,rendimiento_kg_ha,calidad_cosecha
PARC-00029,Lambayeque,Biloxi,5.7,21.1,61.4,5.46,9.3,461.0,199.0,4599.0,8920.0,Media
PARC-00030,Lambayeque,Rocio,5.47,21.5,67.1,6.56,8.6,529.0,270.0,4203.0,8520.0,Baja
PARC-00031,Ica,Ventura,11.48,20.3,62.4,6.68,8.3,517.0,254.0,3893.0,8592.0,Media
PARC-00032,Lambayeque,Biloxi,3.65,22.3,39.9,6.22,7.7,627.0,239.0,3056.0,8234.0,Baja
PARC-00033,Ica,Emerald,10.3,20.1,60.3,5.61,9.5,466.0,150.0,4153.0,9578.0,Alta
PARC-00034,La Libertad,Biloxi,4.81,22.3,33.7,5.4,9.3,644.0,221.0,3985.0,8755.0,Media
PARC-00035,Ica,Emerald,2.29,22.1,38.1,5.71,9.1,667.0,246.0,4021.0,8819.0,Media
PARC-00036,Ica,Rocio,2.4,19.4,65.6,5.44,8.0,497.0,118.0,4041.0,9303.0,Alta
PARC-00037,Ica,Emerald,6.29,19.8,58.2,5.72,9.6,543.0,136.0,4254.0,9291.0,Alta
PARC-00038,La Libertad,Biloxi,6.54,23.0,44.0,5.2,10.2,716.0,240.0,3897.0,8934.0,Media
PARC-00039,Ica,Biloxi,5.2,20.4,61.3,5.7,8.4,634.0,171.0,4287.0,8968.0,Media
PARC-00040,La Libertad,Biloxi,8.69,20.5,57.3,6.74,9.3,558.0,297.0,4151.0,8198.0,Baja
PARC-00041,Lambayeque,Emerald,6.85,22.5,38.8,5.67,9.3,736.0,162.0,3665.0,8719.0,Media
PARC-00042,La Libertad,Emerald,2.74,23.2,49.8,5.96,7.0,610.0,255.0,3428.0,8365.0,Baja
PARC-00043,Lambayeque,Emerald,5.48,20.5,55.6,6.9,9.2,543.0,281.0,3997.0,8048.0,Baja
PARC-00044,La Libertad,Ventura,3.02,18.7,56.0,5.8,8.9,585.0,207.0,4074.0,8715.0,Media
PARC-00045,La Libertad,Biloxi,2.63,22.9,40.3,5.99,6.3,562.0,280.0,4064.0,8474.0,Baja
PARC-00046,La Libertad,Rocio,4.08,22.4,45.3,6.16,7.6,534.0,218.0,3909.0,8375.0,Baja
PARC-00047,La Libertad,Emerald,9.01,24.1,37.3,5.55,9.0,714.0,188.0,3754.0,7620.0,Baja
PARC-00048,La Libertad,Emerald,8.96,21.1,59.0,5.14,8.6,573.0,212.0,3708.0,9441.0,Alta
PARC-00049,Ica,Biloxi,10.61,21.1,55.5,7.07,8.8,624.0,230.0,3831.0,7911.0,Baja
PARC-00050,Lambayeque,Ventura,9.56,19.4,57.5,5.43,8.3,524.0,178.0,4293.0,9589.0,Alta
PARC-00051,Lambayeque,Ventura,7.35,20.6,59.4,5.42,9.1,516.0,166.0,3865.0,9299.0,Alta
PARC-00052,Ica,Emerald,5.13,19.5,55.0,5.53,9.4,483.0,201.0,4045.0,9398.0,Alta
PARC-00053,La Libertad,Rocio,2.06,20.0,52.0,6.62,9.1,560.0,251.0,4103.0,8672.0,Media
PARC-00054,Lambayeque,Rocio,8.47,20.0,65.1,6.75,8.1,593.0,259.0,4710.0,7748.0,Baja
PARC-00055,Lambayeque,Emerald,4.9,20.1,61.6,7.12,8.5,529.0,287.0,4344.0,7770.0,Baja
PARC-00056,La Libertad,Ventura,4.5,19.4,53.1,,9.1,549.0,260.0,3777.0,8882.0,Media
PARC-00057,Lambayeque,Ventura,11.75,23.2,37.0,5.76,9.9,744.0,214.0,4610.0,8679.0,Media
PARC-00058,Lambayeque,Emerald,3.74,23.3,41.4,5.42,9.4,760.0,261.0,4170.0,7969.0,Baja
PARC-00059,Lambayeque,Ventura,2.32,20.3,59.9,5.21,8.3,551.0,231.0,3546.0,9221.0,Alta
PARC-00060,Lambayeque,Ventura,11.49,20.3,65.1,5.47,9.3,520.0,196.0,3695.0,8979.0,Media
PARC-00061,La Libertad,Rocio,5.06,19.6,55.9,6.77,8.9,585.0,333.0,4195.0,8639.0,Media
PARC-00062,Lambayeque,Emerald,5.93,23.1,34.6,5.7,8.9,638.0,217.0,3931.0,8527.0,Baja
PARC-00063,La Libertad,Ventura,2.81,23.2,42.1,5.71,9.0,696.0,165.0,3299.0,8743.0,Media
PARC-00064,Ica,Emerald,6.04,21.4,54.4,6.57,8.6,493.0,265.0,4005.0,8954.0,Media
PARC-00065,La Libertad,Ventura,11.72,18.9,65.5,6.79,7.9,598.0,243.0,4473.0,8547.0,Baja
PARC-00066,La Libertad,Biloxi,8.94,23.1,36.8,5.77,10.1,674.0,228.0,3635.0,8870.0,Media
PARC-00067,La Libertad,Rocio,6.74,21.0,40.5,5.51,9.3,783.0,164.0,3896.0,9099.0,Alta
PARC-00068,La Libertad,Ventura,5.07,18.1,64.1,5.3,8.8,492.0,158.0,4057.0,9877.0,Alta
PARC-00069,La Libertad,Ventura,5.66,19.4,61.6,5.59,9.2,560.0,247.0,3833.0,8932.0,Media
PARC-00070,La Libertad,Biloxi,8.11,21.7,43.9,5.66,9.7,660.0,187.0,4032.0,8940.0,Media
PARC-00071,Lambayeque,Rocio,4.54,20.0,64.9,5.75,8.3,537.0,241.0,4227.0,9503.0,Alta
PARC-00072,Ica,Emerald,3.52,23.9,42.1,5.42,9.7,802.0,213.0,4165.0,8456.0,Baja
PARC-00073,La Libertad,Ventura,8.96,21.4,44.8,6.2,7.5,574.0,237.0,3702.0,8981.0,Media
PARC-00074,Lambayeque,Emerald,10.69,20.2,,5.42,9.1,539.0,199.0,4120.0,9524.0,Alta
PARC-00075,Ica,Ventura,11.02,19.5,62.3,6.08,8.1,564.0,177.0,4244.0,8459.0,Baja
PARC-00076,La Libertad,Ventura,10.41,20.0,63.3,5.74,9.1,598.0,130.0,4498.0,9768.0,Alta
PARC-00077,Ica,Ventura,7.31,20.3,64.6,5.26,8.6,556.0,199.0,4171.0,9186.0,Alta
PARC-00078,La Libertad,Biloxi,9.89,19.9,55.7,6.97,9.1,592.0,262.0,4332.0,8716.0,Media
PARC-00079,La Libertad,Rocio,11.26,21.9,39.8,5.72,9.7,668.0,186.0,4047.0,8414.0,Baja
PARC-00080,La Libertad,Rocio,2.23,21.1,58.9,6.87,8.0,585.0,266.0,4097.0,8406.0,Baja
PARC-00081,La Libertad,Rocio,6.12,21.5,51.9,,8.8,573.0,253.0,3783.0,7607.0,Baja
PARC-00082,Lambayeque,Ventura,4.04,23.5,46.5,5.96,9.6,687.0,251.0,3978.0,8555.0,Baja
PARC-00083,Ica,Rocio,11.97,23.8,47.5,6.19,8.2,577.0,195.0,3613.0,8119.0,Baja
PARC-00084,La Libertad,Ventura,11.3,20.9,52.4,5.69,9.0,541.0,156.0,4226.0,9338.0,Alta
PARC-00085,Ica,Rocio,10.02,18.1,62.8,5.2,9.0,545.0,235.0,4055.0,8694.0,Media
PARC-00086,La Libertad,Biloxi,4.96,19.4,57.8,5.75,9.3,534.0,193.0,3708.0,9262.0,Alta
PARC-00087,La Libertad,Ventura,11.52,20.4,59.4,7.04,8.7,468.0,219.0,4713.0,8175.0,Baja
PARC-00088,Ica,Emerald,2.29,21.7,,5.7,9.4,699.0,242.0,3990.0,9196.0,Alta
PARC-00089,Ica,Rocio,3.88,20.3,52.4,5.65,9.1,650.0,167.0,4074.0,9581.0,Alta
PARC-00090,Lambayeque,Ventura,8.17,23.6,31.7,5.65,9.9,636.0,190.0,3590.0,8433.0,Baja
PARC-00091,La Libertad,Ventura,9.93,21.4,65.1,5.36,9.1,550.0,208.0,3925.0,8775.0,Media
PARC-00092,La Libertad,Rocio,10.84,19.6,64.1,6.71,8.7,586.0,240.0,4598.0,8650.0,Media
PARC-00093,La Libertad,Ventura,5.01,22.5,47.0,6.0,9.1,722.0,227.0,3897.0,9511.0,Alta
PARC-00094,Lambayeque,Emerald,5.91,22.8,41.3,5.94,10.1,655.0,234.0,4023.0,9180.0,Alta
PARC-00095,La Libertad,Ventura,6.55,19.9,53.1,5.53,9.2,540.0,152.0,4347.0,8420.0,Baja
PARC-00096,Lambayeque,Biloxi,2.27,20.6,60.0,6.85,9.1,626.0,261.0,4632.0,8510.0,Baja
PARC-00097,La Libertad,Ventura,10.64,22.8,44.9,5.64,9.6,705.0,149.0,3780.0,9052.0,Alta
PARC-00098,La Libertad,Emerald,5.38,20.3,56.9,5.44,8.2,507.0,184.0,4407.0,9202.0,Alta
PARC-00099,La Libertad,Biloxi,3.99,19.5,62.8,5.39,9.1,544.0,226.0,3966.0,9158.0,Alta
PARC-00100,Lambayeque,Biloxi,6.09,23.1,49.6,6.18,6.6,598.0,272.0,3241.0,8203.0,Baja
PARC-00101,Lambayeque,Rocio,9.11,22.0,46.3,6.06,7.5,619.0,248.0,3306.0,8934.0,Media
PARC-00102,Ica,Biloxi,10.71,20.0,61.3,7.0,8.2,569.0,265.0,3987.0,7917.0,Baja
PARC-00103,Ica,Biloxi,4.15,18.7,54.1,5.39,8.4,567.0,186.0,4694.0,9504.0,Alta
PARC-00104,Lambayeque,Emerald,3.73,20.9,49.1,,8.4,679.0,295.0,3315.0,9016.0,Media
PARC-00105,La Libertad,Emerald,11.44,20.8,,6.89,8.8,556.0,254.0,4235.0,8114.0,Baja
PARC-00106,Ica,Biloxi,7.51,20.0,69.4,6.62,8.5,539.0,326.0,3870.0,9036.0,Media
PARC-00107,Ica,Biloxi,5.66,22.0,34.9,5.89,9.8,699.0,193.0,3874.0,8489.0,Baja
PARC-00108,Ica,Rocio,3.99,18.6,60.9,5.27,8.7,556.0,130.0,4159.0,8977.0,Media
PARC-00109,La Libertad,Emerald,11.95,21.5,58.1,5.55,9.5,543.0,183.0,3531.0,9011.0,Media
PARC-00110,La Libertad,Emerald,9.19,22.7,51.7,6.35,7.2,654.0,235.0,3582.0,9011.0,Media
PARC-00111,Lambayeque,Biloxi,4.18,23.3,36.4,5.6,10.0,619.0,208.0,3693.0,8337.0,Baja
PARC-00112,La Libertad,Biloxi,2.91,20.5,59.5,5.3,9.1,525.0,184.0,4252.0,8639.0,Media
PARC-00113,La Libertad,Biloxi,3.99,18.9,64.5,5.22,8.7,631.0,234.0,4124.0,8996.0,Media
PARC-00114,La Libertad,Rocio,4.48,22.4,37.8,5.63,10.5,686.0,219.0,4299.0,9072.0,Alta
PARC-00115,Lambayeque,Rocio,3.11,19.2,57.7,5.51,9.0,546.0,199.0,4046.0,9510.0,Alta
PARC-00116,La Libertad,Emerald,4.3,21.0,50.8,6.15,7.6,610.0,240.0,3539.0,9639.0,Alta
PARC-00117,Lambayeque,Emerald,3.17,20.8,59.1,6.97,9.4,611.0,251.0,4249.0,8748.0,Media
PARC-00118,Lambayeque,Biloxi,5.78,19.0,58.4,6.74,8.7,489.0,277.0,3776.0,8592.0,Media
PARC-00119,Lambayeque,Rocio,6.86,22.1,47.8,5.6,10.4,732.0,219.0,3784.0,8800.0,Media
PARC-00120,La Libertad,Emerald,6.55,20.6,52.7,6.73,9.4,585.0,299.0,4590.0,9102.0,Alta
PARC-00121,Ica,Emerald,10.29,22.0,40.3,5.78,9.5,687.0,202.0,4048.0,8865.0,Media
PARC-00122,La Libertad,Rocio,4.54,19.9,64.4,,9.2,539.0,237.0,4354.0,8568.0,Baja
PARC-00123,La Libertad,Biloxi,10.87,18.8,57.8,5.68,8.3,542.0,175.0,4128.0,9037.0,Media
PARC-00124,La Libertad,Ventura,11.08,23.5,37.1,5.47,9.7,764.0,244.0,3487.0,8069.0,Baja
PARC-00125,La Libertad,Biloxi,11.6,19.7,66.4,5.6,8.3,578.0,177.0,3956.0,9109.0,Alta
PARC-00126,Lambayeque,Ventura,3.81,22.3,36.0,5.55,10.3,640.0,161.0,3593.0,8890.0,Media
PARC-00127,La Libertad,Ventura,4.46,20.3,57.9,5.68,8.6,524.0,180.0,3959.0,9490.0,Alta
PARC-00128,Ica,Ventura,8.24,20.9,62.7,5.84,10.2,507.0,202.0,3806.0,9159.0,Alta
PARC-00129,La Libertad,Emerald,3.41,19.4,57.3,5.29,8.5,544.0,163.0,4311.0,8852.0,Media
PARC-00130,Ica,Ventura,2.86,22.7,42.7,5.69,10.1,626.0,246.0,3722.0,8316.0,Baja
PARC-00131,Lambayeque,Biloxi,2.74,19.3,72.1,5.41,9.0,496.0,251.0,4380.0,9307.0,Alta
PARC-00132,La Libertad,Biloxi,8.06,22.8,47.1,5.91,7.7,566.0,195.0,3294.0,8589.0,Media
PARC-00133,Lambayeque,Emerald,10.05,23.1,,5.6,9.6,749.0,162.0,3808.0,8443.0,Baja
PARC-00134,La Libertad,Emerald,4.59,20.2,54.2,5.54,8.4,611.0,224.0,4124.0,9123.0,Alta
PARC-00135,Ica,Rocio,11.34,21.6,42.2,5.76,10.2,678.0,238.0,4140.0,9237.0,Alta
PARC-00136,Lambayeque,Rocio,9.92,18.1,55.8,5.64,9.6,597.0,152.0,4175.0,9488.0,Alta
PARC-00137,Lambayeque,Biloxi,2.77,22.4,47.6,5.77,7.2,649.0,221.0,3509.0,8495.0,Baja
PARC-00138,La Libertad,Emerald,6.07,21.2,42.6,5.79,9.4,649.0,238.0,3500.0,9180.0,Alta
PARC-00139,Ica,Biloxi,2.68,21.3,61.9,6.94,8.9,582.0,274.0,4335.0,8546.0,Baja
PARC-00140,Lambayeque,Biloxi,11.15,20.8,52.9,5.5,9.1,537.0,144.0,4019.0,9028.0,Media
PARC-00141,Lambayeque,Rocio,9.43,22.4,39.8,5.74,9.2,671.0,213.0,4052.0,8850.0,Media
PARC-00142,La Libertad,Ventura,8.87,24.3,33.5,5.66,8.9,743.0,182.0,3631.0,7901.0,Baja
PARC-00143,La Libertad,Rocio,8.83,23.0,51.4,,6.0,673.0,254.0,4165.0,7706.0,Baja
PARC-00144,Lambayeque,Biloxi,4.85,22.0,,5.66,9.8,700.0,170.0,3982.0,9054.0,Alta
PARC-00145,Lambayeque,Emerald,11.34,22.5,45.0,5.46,8.7,699.0,249.0,3840.0,8841.0,Media
PARC-00146,Ica,Ventura,11.23,19.7,59.4,5.39,8.8,548.0,213.0,4024.0,9460.0,Alta
PARC-00147,Lambayeque,Rocio,9.39,19.7,60.4,5.12,9.2,550.0,201.0,4340.0,8904.0,Media
PARC-00148,Lambayeque,Emerald,6.69,22.3,36.3,5.95,9.0,670.0,227.0,3336.0,8775.0,Media
PARC-00149,La Libertad,Rocio,2.47,23.5,42.7,5.78,9.8,693.0,178.0,3765.0,8828.0,Media
PARC-00150,Lambayeque,Ventura,2.28,18.4,51.5,5.55,9.0,557.0,186.0,4266.0,9745.0,Alta
PARC-00151,La Libertad,Rocio,3.38,21.6,,6.2,7.3,627.0,267.0,3528.0,9146.0,Alta
PARC-00152,Ica,Rocio,7.96,22.0,50.2,6.15,7.2,644.0,273.0,3821.0,8360.0,Baja
PARC-00153,La Libertad,Rocio,9.98,20.7,62.1,5.45,7.9,582.0,237.0,4261.0,9343.0,Alta
PARC-00154,Lambayeque,Ventura,11.48,21.7,42.1,5.76,10.3,716.0,238.0,3726.0,8960.0,Media
PARC-00155,Ica,Rocio,3.75,19.3,62.9,5.67,9.8,513.0,193.0,4287.0,9397.0,Alta
PARC-00156,Lambayeque,Emerald,4.76,20.7,61.6,6.57,8.7,502.0,273.0,4610.0,8517.0,Baja
PARC-00157,La Libertad,Biloxi,2.54,20.0,55.2,5.58,9.3,554.0,207.0,4035.0,8806.0,Media
PARC-00158,Lambayeque,Rocio,11.89,20.1,58.5,7.05,7.7,538.0,276.0,3476.0,8052.0,Baja
PARC-00159,La Libertad,Biloxi,9.81,19.7,62.7,7.1,9.0,597.0,271.0,4339.0,8370.0,Baja
PARC-00160,La Libertad,Emerald,6.81,20.2,58.5,6.77,9.5,624.0,306.0,4098.0,8695.0,Media
PARC-00161,Lambayeque,Biloxi,7.76,21.2,56.1,5.38,9.0,587.0,155.0,3772.0,9325.0,Alta
PARC-00162,Ica,Rocio,7.62,22.1,38.8,6.17,7.0,595.0,215.0,3545.0,8701.0,Media
PARC-00163,La Libertad,Emerald,4.54,18.4,60.1,5.28,8.8,578.0,181.0,4158.0,9220.0,Alta
PARC-00164,Ica,Rocio,3.85,19.8,62.9,5.6,8.6,543.0,231.0,4198.0,9441.0,Alta
PARC-00165,La Libertad,Emerald,4.97,22.1,42.0,5.52,9.6,655.0,184.0,3959.0,8908.0,Media
PARC-00166,Ica,Emerald,4.47,23.2,35.8,5.73,9.2,701.0,253.0,4002.0,8540.0,Baja
PARC-00167,Lambayeque,Rocio,7.58,21.4,42.5,6.44,6.9,600.0,264.0,3779.0,9132.0,Alta
PARC-00168,Ica,Ventura,5.08,22.8,49.3,6.34,8.1,618.0,180.0,3418.0,8393.0,Baja
PARC-00169,Ica,Emerald,9.29,18.9,62.8,5.28,9.7,593.0,209.0,4139.0,9260.0,Alta
PARC-00170,Ica,Ventura,7.68,22.8,45.3,6.52,7.4,604.0,269.0,3504.0,8205.0,Baja
PARC-00171,Lambayeque,Biloxi,7.32,19.8,62.9,5.43,9.1,587.0,183.0,3946.0,9249.0,Alta
PARC-00172,La Libertad,Rocio,11.51,23.1,48.2,5.46,9.0,670.0,202.0,3211.0,8464.0,Baja
PARC-00173,La Libertad,Ventura,5.22,19.0,55.4,5.13,9.4,626.0,243.0,3693.0,9268.0,Alta
PARC-00174,Lambayeque,Biloxi,8.35,22.3,51.9,5.91,7.3,635.0,237.0,3917.0,8581.0,Media
PARC-00175,La Libertad,Rocio,2.0,20.6,66.1,5.41,9.1,466.0,208.0,3834.0,9234.0,Alta
PARC-00176,Ica,Rocio,9.37,20.2,53.3,5.61,9.5,517.0,166.0,3561.0,9088.0,Alta
PARC-00177,La Libertad,Emerald,7.03,22.3,37.7,5.76,9.7,675.0,228.0,3981.0,8915.0,Media
PARC-00178,Ica,Ventura,4.08,20.9,40.7,6.35,7.9,592.0,247.0,3736.0,8979.0,Media
PARC-00179,La Libertad,Rocio,2.02,21.5,45.0,6.24,7.9,551.0,229.0,3489.0,8731.0,Media
PARC-00180,Ica,Emerald,9.07,19.7,,7.01,9.0,533.0,278.0,3929.0,7676.0,Baja
PARC-00181,Ica,Ventura,8.63,22.5,48.0,6.09,8.0,577.0,226.0,3152.0,8797.0,Media
PARC-00182,La Libertad,Ventura,8.65,21.6,50.2,6.26,7.7,623.0,298.0,3363.0,8801.0,Media
PARC-00183,Lambayeque,Rocio,6.37,21.9,37.9,5.15,8.9,669.0,212.0,3564.0,8649.0,Media
PARC-00184,La Libertad,Rocio,8.39,19.8,57.5,5.19,9.2,531.0,168.0,3961.0,9512.0,Alta
PARC-00185,Ica,Emerald,7.71,21.0,63.9,7.23,9.2,502.0,271.0,4735.0,7487.0,Baja
PARC-00186,Ica,Biloxi,4.39,19.8,57.7,7.18,9.1,664.0,243.0,3953.0,8357.0,Baja
PARC-00187,La Libertad,Biloxi,7.19,22.1,34.7,5.63,9.7,717.0,210.0,3415.0,8957.0,Media
PARC-00188,La Libertad,Ventura,7.15,20.9,62.6,5.47,9.3,501.0,201.0,4137.0,8599.0,Media
PARC-00189,La Libertad,Emerald,10.24,21.5,52.9,6.86,8.8,604.0,283.0,4314.0,8352.0,Baja
PARC-00190,La Libertad,Rocio,6.33,19.6,61.9,5.34,9.3,573.0,112.0,4398.0,9188.0,Alta
PARC-00191,Ica,Rocio,6.36,20.9,43.5,6.06,6.9,604.0,273.0,3935.0,8779.0,Media
PARC-00192,La Libertad,Ventura,11.84,17.6,57.4,5.71,8.8,488.0,167.0,4357.0,8646.0,Media
PARC-00193,Ica,Biloxi,10.94,18.5,64.9,5.49,8.4,526.0,169.0,4317.0,9065.0,Alta
PARC-00194,Ica,Ventura,4.42,22.6,57.2,6.13,6.6,644.0,180.0,3361.0,8367.0,Baja
PARC-00195,Ica,Biloxi,11.1,20.6,,5.42,8.6,604.0,159.0,4501.0,8687.0,Media
PARC-00196,Lambayeque,Rocio,3.38,20.0,55.0,5.36,8.6,496.0,203.0,3793.0,9653.0,Alta
PARC-00197,La Libertad,Biloxi,10.53,22.0,38.2,5.52,9.5,760.0,234.0,3553.0,8932.0,Media
PARC-00198,Ica,Rocio,3.83,22.6,47.6,6.16,6.8,600.0,265.0,3555.0,8254.0,Baja
PARC-00199,Lambayeque,Emerald,6.26,18.3,58.4,5.14,8.6,512.0,174.0,4600.0,8682.0,Media
PARC-00200,Ica,Biloxi,11.84,20.0,61.1,5.14,8.7,559.0,169.0,4327.0,9471.0,Alta
PARC-00201,La Libertad,Emerald,2.97,20.2,63.2,7.71,9.2,564.0,226.0,4041.0,6740.0,Baja
PARC-00202,La Libertad,Emerald,10.4,21.5,42.6,11.53,7.6,614.0,211.0,2997.0,8929.0,Media
PARC-00203,Ica,Biloxi,6.95,23.0,42.8,5.44,9.9,693.0,168.0,3914.0,8500.0,Baja
PARC-00204,Ica,Biloxi,3.11,19.0,58.8,5.38,9.1,523.0,192.0,4041.0,9093.0,Alta
PARC-00205,La Libertad,Ventura,11.52,19.4,62.1,5.55,9.0,532.0,224.0,4041.0,8955.0,Media
PARC-00206,Lambayeque,Biloxi,7.49,19.8,60.5,5.84,8.3,582.0,143.0,4154.0,9035.0,Media
PARC-00207,La Libertad,Emerald,10.81,21.3,62.1,5.53,8.7,551.0,192.0,3904.0,9187.0,Alta
PARC-00208,Lambayeque,Emerald,10.69,20.3,55.7,6.9,9.7,612.0,260.0,3898.0,8536.0,Baja
PARC-00209,La Libertad,Biloxi,2.15,19.8,60.9,5.35,8.6,493.0,212.0,4236.0,9042.0,Media
PARC-00210,La Libertad,Biloxi,4.65,22.7,39.0,5.59,9.1,726.0,209.0,3842.0,8733.0,Media
PARC-00211,La Libertad,Emerald,5.37,21.6,57.8,6.55,9.2,603.0,192.0,3994.0,8917.0,Media
PARC-00212,La Libertad,Ventura,7.35,22.8,35.0,5.42,8.4,724.0,174.0,3833.0,8161.0,Baja
PARC-00213,La Libertad,Ventura,2.72,20.2,64.2,5.52,9.2,563.0,197.0,3967.0,9315.0,Alta
PARC-00214,La Libertad,Ventura,5.89,22.5,44.1,6.34,7.0,559.0,240.0,4139.0,8102.0,Baja
PARC-00215,La Libertad,Biloxi,10.15,20.4,61.2,,,591.0,251.0,4336.0,8194.0,Baja
PARC-00216,Lambayeque,Rocio,3.73,19.6,52.2,7.05,8.9,599.0,249.0,4001.0,8278.0,Baja
PARC-00217,Lambayeque,Rocio,9.01,21.8,58.1,5.37,9.2,561.0,158.0,4381.0,8937.0,Media
PARC-00218,Lambayeque,Emerald,6.6,19.9,55.2,5.74,9.3,497.0,253.0,4265.0,8934.0,Media
PARC-00219,La Libertad,Ventura,2.71,22.8,48.6,6.27,6.5,553.0,160.0,3982.0,8716.0,Media
PARC-00220,La Libertad,Biloxi,3.77,22.8,42.6,5.36,9.5,770.0,261.0,4047.0,9015.0,Media
PARC-00221,Ica,Ventura,3.41,20.0,,5.53,9.0,522.0,217.0,4219.0,8718.0,Media
PARC-00222,Ica,Rocio,8.2,22.8,35.7,5.74,9.4,724.0,191.0,3757.0,8266.0,Baja
PARC-00223,Ica,Biloxi,2.87,21.6,51.5,7.15,9.5,596.0,244.0,3996.0,8099.0,Baja
PARC-00224,Ica,Rocio,10.23,23.4,49.7,6.23,6.6,591.0,289.0,3583.0,8002.0,Baja
PARC-00225,Lambayeque,Ventura,10.07,20.0,56.6,5.53,9.0,494.0,156.0,4241.0,9757.0,Alta
PARC-00226,Ica,Ventura,2.8,21.7,40.4,6.48,7.4,526.0,207.0,3231.0,8705.0,Media
PARC-00227,La Libertad,Rocio,10.88,17.9,112.8,5.4,9.7,529.0,220.0,4001.0,9141.0,Alta
PARC-00228,Lambayeque,Rocio,11.59,22.6,41.1,5.7,9.2,644.0,259.0,4422.0,8466.0,Baja
PARC-00229,Ica,Rocio,2.43,20.3,52.4,6.71,9.1,587.0,234.0,4369.0,8789.0,Media
PARC-00230,Lambayeque,Ventura,11.5,20.1,63.2,5.41,9.5,508.0,209.0,4331.0,8954.0,Media
PARC-00231,La Libertad,Emerald,4.79,20.5,68.2,5.35,8.3,508.0,220.0,4224.0,9614.0,Alta
PARC-00232,La Libertad,Ventura,8.65,22.9,34.3,5.45,9.8,756.0,174.0,3769.0,8842.0,Media
